Color,Thick,Strain,Gray,G_Predict
5,48,108,6.5,-1.70014
5,48,102,6,-1.61941
5,48,96,5.75,-1.59909
5,48,110,6.25,-1.56336
5,48,106,6,-1.5537
5,48,108,6,-1.51404
5,48,104,5.75,-1.4933
7,48,74,4.25,-1.2852
8,48,76,4.75,-1.58968
8,48,74,5,-1.44691
9,48,82,5.5,-1.66866
9,48,80,5.5,-1.64416
