Color,Thick,Strain,Gray,G_Predict
3,80,108,4.5,-1.89179
3,80,110,4.75,-1.89016
3,80,106,4.5,-1.8798
3,80,104,4.5,-1.86607
3,80,102,4.25,-1.85702
4,80,124,5.25,-1.91141
4,80,126,5.25,-1.89936
4,80,122,5,-1.89879
4,80,124,5,-1.88626
