Color,Thick,Strain,Gray,G_Predict
1,48,138,5.75,1.67186
1,48,146,6,1.68502
1,48,136,6,1.71971
1,48,134,6,1.72076
3,30,40,4.25,1.35322
3,30,40,4.75,1.35484
3,30,40,4.5,1.35753
3,30,38,4.75,1.36136
3,48,170,5,1.53085
3,48,150,5,1.57284
3,48,136,5,1.59037
3,48,158,4.75,1.60039
3,48,156,4.75,1.60468
3,48,140,4.5,1.61372
3,48,150,4.75,1.61441
3,48,142,4.75,1.62418
3,48,140,4.75,1.62527
7,30,38,7.5,1.47926
7,30,38,7.25,1.48176
