Color,Thick,Strain,Gray,G_Predict
1,80,180,5.25,1.69466
1,80,178,5.25,1.70575
1,80,176,5.25,1.71654
1,80,174,5.25,1.72713
1,80,182,5,1.73648
1,80,172,5.25,1.73649
1,80,170,5.25,1.74572
1,80,180,5,1.74724
1,80,164,5.25,1.74861
1,80,158,5,1.75053
1,80,166,5.25,1.75309
1,80,178,5,1.75781
1,80,176,5,1.76792
1,80,174,5,1.77796
1,80,172,5,1.78762
1,80,162,5,1.78954
1,80,170,5,1.79543
1,80,164,5,1.79915
1,80,168,5,1.80189
1,80,166,5,1.8034
3,30,36,4.5,1.42849
3,30,34,4.5,1.43038
3,48,120,4.75,1.49799
3,48,118,5,1.51458
3,48,122,5,1.51694
3,48,120,5,1.51758
3,80,188,5.75,1.59298
3,80,180,6,1.60194
3,80,186,5.75,1.61313
3,80,190,5.5,1.61656
3,80,178,6,1.61987
3,80,156,5.25,1.62764
3,80,184,5.75,1.63176
3,80,188,5.5,1.63386
3,80,176,6,1.63665
3,80,160,5,1.64417
3,80,182,5.75,1.64848
3,80,186,5.5,1.65087
3,80,184,5,1.65423
3,80,162,5,1.6616
3,80,172,6,1.66263
3,80,180,5.75,1.66473
3,80,184,5.5,1.66604
3,80,186,5.25,1.66627
3,80,164,5,1.67121
3,80,168,6,1.67228
3,80,184,5.25,1.67537
3,80,166,5,1.67712
3,80,178,5.75,1.67851
3,80,182,5.5,1.68028
3,80,168,5,1.68058
3,80,182,5.25,1.68408
3,80,176,5.75,1.69053
3,80,160,5.25,1.69126
3,80,180,5.25,1.69223
3,80,180,5.5,1.69261
3,80,174,5.75,1.69914
3,80,178,5.25,1.69932
3,80,178,5.5,1.7025
3,80,162,5.25,1.70274
3,80,172,5.75,1.70508
3,80,164,5.75,1.7051
3,80,176,5.25,1.70535
3,80,170,5.75,1.7075
3,80,166,5.75,1.7078
3,80,168,5.75,1.70844
3,80,164,5.25,1.70977
3,80,174,5.25,1.7103
3,80,176,5.5,1.71052
3,80,160,5.5,1.71129
3,80,166,5.25,1.7124
3,80,168,5.25,1.71296
3,80,170,5.25,1.71349
3,80,172,5.25,1.71371
3,80,162,5.5,1.71645
3,80,174,5.5,1.71745
3,80,164,5.5,1.72016
3,80,166,5.5,1.72255
3,80,172,5.5,1.72269
3,80,168,5.5,1.72282
3,80,170,5.5,1.72305
