Color,Thick,Strain,Gray,G_Predict
8,60,108,3,1.55838
8,60,110,3.25,1.73216
8,60,112,3.25,1.87912
8,60,114,3,1.8973
8,60,114,3.5,1.90241
8,60,114,3.25,1.90365
8,80,80,4.5,1.99288
8,80,78,4.5,1.9976
8,80,80,4.25,2.0028
8,80,78,4.25,2.00701
