Color,Thick,Strain,Gray,G_Predict
6,80,122,6.75,1.57772
6,80,96,6.75,1.58201
6,80,112,6.75,1.59942
6,80,108,6.75,1.6005
6,80,114,6.5,1.72753
8,80,128,6.25,1.60642
8,80,124,7,1.60715
8,80,122,7,1.60934
8,80,124,6.25,1.62016
