Color,Thick,Strain,Gray,G_Predict
3,60,48,5.5,-1.64366
3,60,44,5.75,-1.62457
3,60,46,5.75,-1.60105
4,60,40,6,-1.62803
4,48,98,5,-1.60222
4,48,100,5.25,-1.59669
4,48,96,4.75,-1.58773
4,48,100,5,-1.57754
5,48,78,5,-1.56616
5,48,76,4.75,-1.50187
5,60,38,6.25,-1.35477
6,48,76,5.25,-1.60143
6,48,78,5.25,-1.58357
7,48,76,5.5,-1.61925
7,48,74,5.25,-1.58859
7,48,76,5.25,-1.58417
7,48,78,5.25,-1.5572
9,48,76,5.75,-1.67468
